;score10_6;score10_8;score35;dist35_10;scorephage;fe;freqAT;host;size10;size35_6;size35_7;size35_9;size35_14;sizephage_23;sizephage_21;sizephage_32;TG;Podo;Sipho;Myo;tp;Bacillus;EColi;Klebsiella;Pectobacterium;Cronobacter;output
NC_019401:205752;1,298498436;0,286861462;-1,143815041;-1,859344048;-0,153566047;0,606683439;0,757174405;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0
NC_019401:233220;-0,86955747;0,492575634;0,723590502;-0,365645064;-0,238038822;0,380294599;0,631188647;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0
NC_013649:129613;-0,005657787;-1,120453903;-0,745130337;0,007779682;0,260142344;-1,366764643;-1,636554996;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
NC_003298:54888;-0,916628922;-0,516769467;0,121945751;0,754629174;-0,833246976;-0,473356977;-0,376697416;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0
NC_000866:64363;0,002648932;0,536794565;0,047806171;-1,485919302;-1,182592009;0,754664437;0,757174405;1;1;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0
KU574722:Porf_553;0,406909614;1,380799281;0,148036028;-1,485919302;-0,486097148;1,473587045;1,261117437;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1
NC_000866:P141.0;-0,396074002;0,281093781;0,921779308;0,007779682;-0,017110037;0,097584633;0,253231374;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1
KU574722:148184;0,66441825;-1,045474009;1,941036167;-0,365645064;-0,692892167;0,732577721;0,757174405;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0
NC_001604:E;-0,988620557;-0,82630196;0,309517382;-1,485919302;-0,221144269;-0,1409519;-0,250711658;1;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;1
KU574722:160957;0,406909614;0,786727577;-0,28629324;-1,112494556;-0,954139991;0,107523656;0,127245616;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0
NC_001825:PL5;0,636729053;-0,147637543;-2,146608435;1,874903412;0,253202821;0,267652347;0,001259858;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1
NC_000866:PnrdB.iI;1,124057128;2,540104149;-0,274431861;1,501478666;0,021372415;1,712123579;1,513088953;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1
NC_019401:232188;0,406909614;-0,386035234;0,121945751;-0,73906981;-0,839744844;1,06166979;1,135131679;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0
NC_009936:242294;-1,187982025;-0,810921433;-0,352291767;0,381204428;-0,162663114;-1,327008554;-1,258597722;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
NC_004831:49561;-0,0111956;0,373376763;1,692049279;0,381204428;-0,332239515;0,576866372;0,379217131;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
NC_009935:237361;-1,462104001;-1,008945319;1,583588382;1,501478666;-0,495355877;-0,425870538;-0,628668932;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
NC_005856:36583;0,459518904;-0,616742667;-1,180437933;-0,73906981;-0,852740642;-0,132117214;-0,250711658;1;1;1;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0
NC_004914:116277;0,24908181;-0,86475321;-0,266804127;-1,485919302;-0,761769992;-0,299976256;-0,250711658;1;1;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0
NC_025418:145073;1,187742044;-0,147637543;0,58556602;-0,73906981;0,089455607;0,420050688;0,127245616;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0
NC_004777:195009;1,068678997;0,023470482;-1,917812005;-1,485919302;0,099852261;-0,528573767;-0,502683174;1;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
KP025626:248139;-1,420570403;-1,379999854;0,28724411;-1,485919302;-0,383591888;-1,38332968;-1,38458348;1;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
NC_001604:75564;-0,019502386;-0,735941538;0,205270941;0,007779682;-0,277026248;-0,349671367;-0,502683174;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;1;0;0;0;0
NC_011976:299754;-1,658696562;0,067689413;0,629695999;-1,112494556;-0,0470004;-0,578268879;-0,880640448;1;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0
NC_004665:phi4;0,060796035;0,425285935;0,295361061;0,754629174;1,907115186;-0,318749965;-0,250711658;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1
NC_027375:250476;-1,099376917;-0,739786659;-1,565661615;0,007779682;-0,291321642;-1,631805236;-1,762540754;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0
NC_000866:P32(late);0,88039309;2,540104149;-0,583484808;0,007779682;0,068662314;1,057252447;0,883160163;1;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;1
NC_028870:139449;-0,4237631;-0,720561056;-1,35924004;-1,112494556;0,670368351;-1,896845828;-1,762540754;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0
NC_011040:197526;-0,202250348;-0,053432007;-0,40601221;-1,485919302;-0,260131695;0,496249859;0,505202889;1;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0
NC_019401:231804;-0,16902347;-0,647503676;-1,586496736;-1,112494556;0,518815745;-0,262428839;-0,250711658;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0
NC_009935:238549;-1,331965296;-1,355006525;-1,839465353;0,007779682;-0,205549295;-2,065809206;-2,140498028;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0
NC_000866:Pcd.3;1,431406081;1,611506691;0,941522072;-1,485919302;-0,267170486;1,300206324;1,387103195;1;1;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1
NC_005856:pLyz;0,406909614;1,430785939;0,744824999;-0,365645064;0,227211193;0,865098017;0,883160163;1;1;1;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;1
NC_006949:296539;-0,301931081;0,682909234;-0,971197017;-1,112494556;-0,586326559;-0,361819061;-0,376697416;1;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0
NC_019401:231988;-0,340695806;0,72136053;0,08301584;0,754629174;0,197320857;0,665213236;0,631188647;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0
NC_019401:214057;0,705951782;1,519223801;-1,166259794;0,007779682;-0,265413694;0,74582975;0,883160163;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;1;0
NC_009935:239213;-0,573284184;-0,122644238;-0,582332402;0,754629174;-0,256956573;-1,294982815;-1,38458348;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
NC_001416:22028;-0,202250348;-0,103418618;-0,904377135;-1,112494556;0,05306734;-0,349671367;-0,250711658;1;1;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0
AY543070:P100;1,849511427;1,301974266;0,514784364;0,381204428;-0,555713379;1,352110107;1,387103195;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1
NC_004777:196378;0,650573651;0,058076589;-1,633875156;-1,112494556;-0,682110458;-0,87533521;-0,880640448;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
NC_004831:51357;-0,459758918;-1,143524717;-1,15212525;0,381204428;0,771735702;-0,834474785;-0,75465469;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
NC_001978:Ep_c;-0,614817831;-1,451134628;-1,913028759;0,381204428;3,533345363;-1,828377009;-1,636554996;0;1;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1
NC_002166:pL;-0,019502386;0,411828014;0,744824999;0,381204428;-0,824801762;0,95123621;0,883160163;1;1;1;0;0;0;0;0;1;0;0;1;0;1;0;1;0;0;0;1
NC_001604:phi1.1B;-0,16902347;0,148437011;0,029929514;1,874903412;3,629435231;0,84853298;0,631188647;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1
NC_000866:P40;0,769636698;1,027047834;1,134124445;-0,73906981;-0,404385196;1,304623667;1,387103195;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1
NC_005856:LpLyz;0,210317119;-0,116876551;1,279226924;1,501478666;-0,647769992;0,231209266;0,127245616;1;1;1;0;0;0;0;0;1;0;0;0;1;1;0;1;0;0;0;1
NC_004665:A1;-1,398419151;-0,059199687;1,941036167;0,754629174;-0,560820328;-0,565016849;-0,75465469;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1
NC_005856:39474;-0,074880516;-0,778237909;-0,68850497;-0,365645064;1,143415845;-0,370653748;-0,250711658;0;1;1;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0
EU236438:265391;-0,061035983;-1,008945319;-0,949573943;0,007779682;-0,62594416;-1,403207724;-1,258597722;1;1;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
NC_000866:61318;-0,288086549;-0,957036147;-0,309681011;0,007779682;-0,124758324;-0,228194429;0,001259858;1;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0
NC_025418:146613;-1,722381477;-2,018290489;0,235196569;-0,365645064;0,203818756;-1,468363537;-1,510569238;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0
KU574722:170364;0,71979638;0,373376763;0,479351147;-1,485919302;-0,791658841;1,292475973;1,261117437;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0
NC_019401:Porf171;1,849511427;-0,103418618;1,941036167;0,381204428;-0,359095659;0,474163142;0,505202889;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1
NC_000866:65117;-1,520251104;-0,230307713;1,491572061;1,874903412;-0,313107196;0,870619696;0,883160163;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0
NC_005856:pC1;1,849511427;1,127021057;-0,470047933;-1,485919302;-0,135371914;0,44324174;0,379217131;1;1;0;0;1;0;0;1;0;0;0;0;1;1;0;1;0;0;0;1
NC_009935:237791;-1,473179693;-2,498931002;-1,72929921;-1,112494556;0,631380894;-3,002285968;-2,896412576;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0
KP025626:248314;-1,398419151;-1,512656646;-0,932701895;0,007779682;-0,094810788;-1,34909527;-1,38458348;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
NC_019401:210774;-0,301931081;0,467582306;0,497088865;1,501478666;-0,693601124;1,083756506;1,135131679;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0
NC_011040:A1;-0,440376539;0,411828014;1,583588382;0,381204428;0,237141216;0,696134639;0,505202889;1;1;1;0;0;0;1;0;0;1;1;0;0;0;0;1;0;0;0;1
NC_005856:pMat;0,127249858;-1,039706374;1,941036167;1,12805392;-0,496655457;-0,35408871;-0,376697416;1;1;1;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;1
NC_019401:211486;0,88039309;0,421440815;0,528940695;1,501478666;-0,731879624;0,487415172;0,379217131;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0
NC_005045:97509;-1,938356384;-1,120453903;-1,018054081;0,007779682;-0,291321642;-1,529102006;-1,762540754;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0
NC_001895:pF;0,301691166;0,95206794;0,231657402;-0,73906981;-0,545107738;-0,726249876;-0,628668932;1;1;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;1
NC_011043:189248;-1,16583074;-1,255033302;-0,812062262;0,007779682;-0,249306063;-0,715206518;-0,75465469;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
NC_006949:293748;-1,489793132;-0,547530453;-0,430151673;1,874903412;-0,486258819;-0,969203753;-0,880640448;1;1;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0
NC_005856:p1PpfA;-0,667427105;0,436821342;0,497088865;-0,365645064;0,784862015;0,593431409;0,757174405;0;1;1;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;1
KU574722:147924;-0,088725115;0,286861462;-0,89045634;-1,859344048;1,286620212;0,31955613;0,379217131;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0
NC_004777:194231;-0,288086549;0,192655919;-0,995446453;0,007779682;0,4663341;-0,383905777;-0,376697416;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0
NC_004914:116292;-0,437607633;1,301974266;-0,458911297;-1,859344048;-0,36669735;-0,013953283;-0,1247259;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0
NC_005856:32449;0,035875811;0,467582306;-1,198915287;0,007779682;-0,324424284;-1,127123773;-1,006626206;1;1;0;0;0;1;0;0;1;0;0;0;1;1;0;1;0;0;0;0
NC_012418:259626;-0,786490196;-2,158637431;-1,537885644;1,501478666;-0,6630018;-2,444596387;-2,266483786;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
NC_002649:2727;-0,58159092;0,111908344;1,491572061;-0,365645064;-1,127129962;0,921419143;1,009145921;1;1;1;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0
NC_002371:43897;-0,686809467;-0,272604078;-0,569799204;0,381204428;-0,008012966;-0,276785204;-0,1247259;1;1;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0
NC_004913:87860;-0,933242378;1,121253422;-0,124811819;-1,859344048;-0,364202608;-0,724041205;-0,628668932;1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0
NC_000866:P26.2;1,298498436;0,26955842;-0,010661234;-1,859344048;-0,153566047;0,775646817;0,883160163;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1
NC_004913:88116;-1,15752402;1,350038318;1,491572061;0,007779682;-0,763069602;0,351581868;0,253231374;1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0
NC_011040:phiOR;-0,76710783;1,127021057;-0,007877142;-1,859344048;3,446861835;0,784481503;0,631188647;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1
NC_000866:69243;1,849511427;0,467582306;0,121945751;0,007779682;0,131171917;0,923627815;0,757174405;1;1;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0
NC_000902:78198;-0,479141263;-0,691722607;-0,172142589;-1,485919302;0,209052966;-0,22267275;-0,376697416;1;1;0;0;1;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0
NC_003525:110383;-0,155178937;-0,770547668;0,150519433;0,381204428;-0,236739242;-1,005646835;-1,006626206;1;1;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0
NC_011085:191292;-0,318544553;0,192655919;-1,350314071;0,381204428;-0,07039286;-0,671033086;-0,502683174;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
NC_001895:43090;0,761330044;-0,147637543;-0,857288575;0,007779682;0,067362734;-0,227090093;-0,1247259;1;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0
NC_000866:P18(w);0,456750063;1,699944553;-0,239041033;-0,73906981;-0,175245312;1,325606047;1,135131679;1;0;1;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1
KU574722:Porf_552;-0,227170572;1,549984764;-1,157735852;-1,112494556;-0,189289437;1,374196823;1,387103195;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1
NC_001271:125155;-0,76710783;-1,260800937;-0,812073289;0,007779682;-0,296519961;-1,195592593;-1,132611964;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0
NC_005045:96845;-0,528981647;-1,937542868;-0,565591131;-1,112494556;-0,527845404;-1,419772761;-1,38458348;1;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0
AY543070:270986;-0,332389086;0,063844293;-0,033773977;0,754629174;-0,8571363;0,204705206;0,379217131;1;1;1;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0
NC_001416:22141;-0,955393646;-1,312710109;0,316595558;-0,365645064;-0,180857247;-1,466154865;-1,258597722;1;1;1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0
NC_005856:p2PpfA;-0,15241003;-0,186088785;0,405489095;0,007779682;0,479721537;-0,007327268;0,127245616;1;1;0;1;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;1
NC_003298:A3;0,459518904;-0,678264686;1,941036167;0,381204428;0,28182705;-0,412618508;-0,502683174;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1
NC_019401:224138;0,650573651;0,029238163;-0,076243055;0,007779682;-0,717584215;0,80104654;0,631188647;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0
NC_001317:288343;1,298498436;0,063844293;-1,405526235;-1,485919302;-0,313133073;-0,303289263;-0,1247259;1;1;0;0;1;0;1;0;0;0;0;1;0;1;0;1;0;0;0;0
NC_001604:74347;0,459518904;0,06192171;-1,240602399;1,501478666;-0,731879624;-0,326480315;-0,502683174;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0
NC_011085:191623;0,459518904;0,536794565;0,270587397;1,501478666;-0,167584881;0,227896258;0,253231374;1;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
NC_001416:23313;-0,382229469;-0,987797202;-0,794677539;-0,73906981;0,413051296;-0,673241758;-0,628668932;0;1;1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0
NC_027375:252150;-0,695116194;-1,518424281;-0,801363152;-1,485919302;-0,161363534;-1,47278088;-1,38458348;1;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
NC_000866:Pagt.1;1,431406081;1,611506691;1,941036147;-1,485919302;-0,267929189;1,7066019;1,891046227;1;1;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1
NC_003298:phiOL;0,321073446;1,519223801;-0,033773977;1,12805392;3,019154399;1,211859459;1,009145921;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1
NC_019401:233675;-1,326427483;1,307741901;0,497088865;0,754629174;-0,831947365;0,627665819;0,631188647;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0
NC_000924:17575;-1,25997366;-1,312710109;0,235196569;1,874903412;-0,358899871;-1,38332968;-1,132611964;1;1;1;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0
KU574722:176042;-0,451452198;-0,451402351;-0,076243055;1,12805392;-0,382292308;-0,006222932;0,127245616;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0
KU574722:159142;0,578582082;-0,866675771;-0,277940763;-1,485919302;-0,008012966;0,159427438;0,127245616;1;1;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0
KU574722:173146;-0,349002558;0,780959943;-1,267569679;0,007779682;-0,266629609;0,110836663;-0,1247259;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0
NC_012418:259331;-1,31258295;-1,003177684;-0,050018372;0,381204428;-0,457668031;-1,66493531;-1,636554996;1;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
NC_000866:Psoc(w1);0,406909614;1,469237143;-0,033773977;1,12805392;-0,106781129;1,013079015;1,135131679;1;0;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;1
NC_011048:10725;1,068678997;-0,739786659;-1,941341464;-0,365645064;-0,403085616;-0,021683634;-0,376697416;1;1;1;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0
KU574722:173072;0,61180896;-0,297597384;1,583588382;0,754629174;0,608672091;0,394650965;0,505202889;1;1;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0
NC_001317:PE;0,61180896;0,250332817;0,302439227;-0,73906981;0,386519627;0,499562866;0,757174405;1;1;1;0;0;0;1;0;0;0;0;1;0;1;0;1;0;0;0;1
NC_019401:Porf034;1,849511427;0,502188436;1,941036167;0,381204428;-0,092485738;0,559196999;0,631188647;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1
KU574722:Porf_83;1,240351333;-0,616742667;1,941036167;0,381204428;-0,905638184;0,277591369;0,379217131;1;1;1;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;1
NC_009936:A4;0,459518904;-0,951268466;1,941036167;0,381204428;0,526714162;-1,126019437;-1,006626206;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
NC_019401:227753;0,769636698;0,677141599;0,366142717;-0,73906981;0,15313508;0,763499123;0,883160163;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0
NC_009936:P4;-0,16902347;-0,816689159;-1,456486656;0,007779682;0,238421673;-1,546771379;-1,510569238;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
NC_027375:251413;-1,043998754;-2,633510309;-1,382165848;1,501478666;-0,030105847;-2,254650629;-2,266483786;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
NC_004913:pL;0,689338343;0,31185479;0,978404633;0,381204428;0,474614588;0,672943587;0,757174405;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;1
KU574722:153844;-0,279779829;1,121253422;-0,730974006;1,874903412;-0,77710826;0,713804012;0,505202889;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0
NC_019401:203524;-1,470410786;-0,280294325;0,921779308;1,874903412;-0,388790238;0,236730945;0,379217131;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0
NC_000866:P53;0,88039309;2,540104149;-0,222257517;-1,112494556;-0,631040968;1,525490828;1,387103195;1;0;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1
NC_000866:PmotA;0,689338343;0,063844293;1,941036023;0,381204428;-0,08047723;0,696134639;0,631188647;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1
NC_000866:P35.3;1,029914174;1,699944553;0,827147735;0,381204428;-0,1880127;1,564142581;1,513088953;1;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1
NC_028816:136255;-0,708960735;-0,968571554;-1,021179049;1,501478666;-0,495355877;-1,351303941;-1,006626206;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0
NC_004165:1571;-2,046343804;-0,653271357;0,405489095;0,007779682;-0,67189656;-0,18843834;-0,1247259;1;1;0;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0
NC_006949:292935;-0,072111609;-0,111108871;1,321695918;0,007779682;0,610587617;-0,615816296;-0,502683174;1;1;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0
NC_005856:pAsrlf;0,553661857;0,063844293;1,279226924;0,381204428;-1,099661059;0,828654935;0,631188647;1;1;1;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;1
KU574722:152194;-0,324082366;0,717515409;-0,417148846;-1,112494556;-1,185332208;0,338329839;0,127245616;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0
EU622808:4083;-0,074880516;2,019089825;0,065320426;0,381204428;-0,457668031;0,58790973;0,631188647;1;0;1;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0;0;0
NC_000866:64086;0,434598679;0,075379654;0,921779308;-0,73906981;-0,106781129;0,492936851;0,631188647;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0
NC_004831:P5;-0,614817831;1,121253422;0,543097026;1,501478666;1,6849626;0,425572367;0,253231374;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1
NC_011040:phi17;1,298498436;0,517568917;-0,470167048;-1,112494556;3,271948557;0,325077809;0,001259858;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;1
NC_010326:254001;-0,576053107;-1,629932866;-1,263815979;-1,112494556;0,448139982;-2,376127567;-2,266483786;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0
NC_010326:256821;0,24908181;-1,699145125;-0,714658184;0,007779682;-0,436893637;-0,492130686;-0,628668932;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
NC_001416:23972;-1,176906399;-1,449212022;-1,234082746;0,007779682;0,927856709;-0,970308089;-1,006626206;0;1;0;0;0;1;1;0;0;0;0;1;0;1;0;1;0;0;0;0
NC_001978:Ep_k;-1,445490562;-1,06085449;0,327212722;1,12805392;3,507353891;-1,91230653;-1,888526512;0;1;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1
NC_011040:201075;0,152170016;-1,927930021;-1,401133533;-1,112494556;0,209789887;-1,435233462;-1,38458348;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0
NC_003525:109650;0,038644717;-0,111108871;-2,061670363;1,501478666;0,168730054;-0,239237787;0,001259858;0;1;1;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0
NC_005856:p3Lxc;-0,609280002;0,023470482;-0,051469475;-0,365645064;-0,310579583;0,043472179;0,127245616;1;1;1;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;1
NC_011040:198243;-0,880633104;0,771347096;-0,559315497;0,007779682;-0,748774193;0,124088693;-0,1247259;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0
KU574722:174431;-0,4237631;0,421440815;0,305585985;0,007779682;-0,587626139;0,314034451;0,253231374;1;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0
NC_001978:108055;-0,058267077;-1,5799463;-1,707761788;1,501478666;-0,283524163;-1,430816119;-1,258597722;1;1;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0
NC_002371:44993;0,343224698;-0,516769467;1,279226924;1,501478666;-0,762544996;-0,182916661;0,001259858;1;1;1;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0
EU438902:292505;0,14109439;-0,211082092;-0,638957769;1,501478666;-0,427777664;-0,176290646;0,001259858;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
AY543070:P135;1,849511427;1,611506691;0,514784364;0,381204428;-0,140773372;1,658011124;1,513088953;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;1
NC_000866:PmodB;1,068678997;-0,111108871;1,692049279;0,381204428;-0,677297209;1,315667025;1,261117437;1;1;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1
NC_000866:62481;-0,088725115;-0,082270433;-0,33362401;-1,485919302;0,369922012;0,659691557;0,631188647;1;1;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0
NC_000866:PrIIA;1,431406081;0,809798392;-0,275156604;-1,112494556;0,359708114;0,796629197;0,757174405;1;1;0;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1
NC_009935:238164;-1,163061833;-0,695567728;-1,35924004;-1,112494556;0,168730054;-1,987401364;-2,140498028;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0
