;score10_6;score10_8;score35;dist35_10;scorephage;fe;freqAT;host;size10;size35_6;sizephage_23;sizephage_21;TG;Podo;Myo;tp;EColi;Pectobacterium;Cronobacter;output
NC_011043:187540;0,328273133;-0,05727109;-0,872989699;0,017383613;0,708778248;0,233835312;-0,182735489;1;1;0;1;0;0;1;0;0;0;0;0;0
NC_005856:31798;-1,038918579;-0,655432131;-1,356740216;0,017383613;-0,773161086;-1,074856937;-1,080383503;1;1;0;0;1;0;0;1;1;1;0;0;0
NC_023567:131443;0,424714019;-1,773048886;-2,634747279;-1,11787275;0,144461731;-1,848790457;-1,849796087;0;1;0;0;1;0;1;0;0;0;0;0;0
NC_004914:115583;0,725382724;0,47005511;-0,946215742;-0,361035175;-0,832502601;-0,22984789;0,073735373;1;1;1;0;1;0;1;0;1;1;0;0;0
KU574722:172331;-0,41772564;-0,161555746;1,618768831;-0,739453962;-0,30078106;0,322961767;0,458441665;1;1;1;1;0;0;0;1;0;0;1;0;0
NC_001271:122016;-0,41772564;-1,145373301;0,074932035;-1,874710325;-0,658820081;-0,639378309;-0,567441781;1;1;0;0;1;0;1;0;0;0;0;0;0
NC_000866:68094;0,739565265;1,648668493;0,230283128;0,395802401;-0,702084782;1,215354498;1,227854249;1;1;0;0;0;0;0;1;0;1;0;0;0
NC_011048:10080;-1,464393185;0,304773738;-0,299810831;-1,874710325;-0,192771889;-0,158772363;-0,182735489;1;0;0;0;1;0;1;0;0;0;0;0;0
NC_028816:A2;1,167876432;0,483828542;-0,114427852;0,017383613;-0,543928473;-0,071902274;-0,054500058;1;1;1;1;0;0;1;0;0;0;0;0;1
NC_019401:217790;0,504136005;0,001757963;-0,271991218;0,395802401;-0,611057391;-0,53332911;-0,43920635;1;1;1;0;1;1;0;1;0;0;0;1;0
NC_001271:123443;0,739565265;-0,726267018;-1,926111967;0,017383613;-0,61974151;-0,350563468;-0,43920635;1;1;0;0;1;0;1;0;0;0;0;0;0
NC_028870:139573;0,101353357;-1,135535089;0,14411527;-1,496291537;-0,266586971;-0,79506756;-0,823912642;1;1;0;0;1;0;1;0;0;0;0;0;0
NC_011085:p2;0,061642432;0,670753832;0,051870957;-1,11787275;0,613510029;0,932180572;0,843147957;1;1;0;1;0;0;1;0;0;0;0;0;1
NC_009936:243936;0,112699336;1,036733973;-0,448966486;0,395802401;0,006963038;-0,462253583;-0,43920635;1;0;0;0;1;0;1;0;0;0;0;0;0
NC_019401:234135;1,28984577;0,086366271;0,690037298;0,017383613;-0,263692264;0,579059302;0,586677095;1;1;0;0;1;1;0;1;0;0;0;1;0
NC_025418:146776;-0,673010421;0,001757963;0,224829182;-1,874710325;-0,076983526;0,101837904;0,073735373;1;1;0;0;1;0;1;0;0;0;0;0;0
NC_019401:207897;-0,153931433;0,147362945;0,19312013;-1,11787275;-0,202903379;0,814849543;0,843147957;1;1;0;0;1;0;0;1;0;0;0;1;0
NC_005856:p2Coi;0,861534603;0,525148885;0,402233371;0,017383613;-0,260046259;0,871258692;0,843147957;1;1;1;0;0;0;0;1;1;1;0;0;1
NC_028870:140372;-0,468782611;-0,293387291;-0,789859227;-1,874710325;-0,870437535;-0,792811194;-0,823912642;1;1;0;0;0;0;1;0;0;0;0;0;0
AY543070:274355;0,796295158;-0,301257835;-1,140421722;0,017383613;0,070646641;-0,726248398;-0,695677211;1;1;1;0;1;1;0;0;0;1;0;0;0
NC_004913:84653;-2,153661996;0,086366271;0,30266039;-1,496291537;-0,70887054;0,494445579;0,586677095;1;0;0;1;0;0;1;0;1;1;0;0;0
NC_010326:A1;0,478607485;-0,923030521;2,084130498;0,395802401;-0,61974151;-1,442644586;-1,721560657;1;1;1;0;1;0;1;0;0;0;0;0;1
NC_000866:PtRNA;1,167876432;2,662000457;-1,309925651;0,017383613;-0,702084782;0,717825807;0,843147957;1;0;0;0;0;0;0;1;0;1;0;0;1
AY543070:272218;-0,664500929;0,566469228;0,171384712;0,017383613;-0,050524103;0,46849737;0,330206234;1;1;1;1;0;0;0;0;0;1;0;0;0
EU236438:264181;-2,113951071;-1,084376533;-0,993103678;-1,11787275;0,009857747;-1,776586746;-1,721560657;0;1;0;0;1;0;1;0;0;0;0;0;0
NC_013649:129032;-0,360995713;0,153265868;-0,199809373;0,017383613;-0,714688763;-0,853733074;-0,823912642;1;1;0;0;0;0;1;0;0;0;0;0;0
NC_004831:49124;-0,667337424;-1,834045467;-0,755674011;0,017383613;0,137224948;-0,860502172;-0,952148073;1;1;1;0;1;0;1;0;0;0;0;0;0
NC_002371:45186;-0,766614832;-1,052894402;-1,261342421;1,152639976;-0,103035905;-0,29415432;-0,567441781;1;1;1;0;1;0;1;0;1;1;0;0;0
NC_004665:90753;0,01058546;-1,058797349;-1,346208274;-1,874710325;-0,324866577;-1,59946202;-1,593325226;1;1;0;0;0;0;1;0;0;0;0;0;0
NC_019401:208664;-0,108547451;0,493666708;0,622089163;1,909477551;-0,661714787;0,283475363;0,201970803;1;1;1;0;1;0;0;1;0;0;0;1;0
KU574722:172984;-0,222007339;-0,771522627;2,084130498;1,152639976;-0,820923776;0,818234092;0,843147957;1;1;1;0;1;0;0;1;0;0;1;0;0
NC_011040:198104;-0,346813205;0,182780389;-1,089122024;0,017383613;-0,828311385;0,391780928;0,201970803;1;1;1;1;0;0;1;0;0;1;0;0;0
NC_004165:308;1,167876432;0,133589513;-1,573850274;-1,11787275;-0,468911734;0,406447307;0,330206234;1;1;0;0;0;0;1;0;0;0;0;0;0
NC_028816:137879;-0,882911221;-0,773490261;-1,369744262;0,017383613;-0,575358292;-1,103061511;-1,080383503;1;1;0;0;0;0;1;0;0;0;0;0;0
NC_004777:194414;0,01058546;-1,725825597;0,589110733;0,395802401;-0,773161086;-0,905629491;-0,695677211;1;1;1;0;1;0;1;0;0;0;0;0;0
KU574722:Porf_289;0,56370246;2,128771357;-0,323290862;0,395802401;0,280782;1,321403698;1,227854249;1;0;1;1;0;0;0;1;0;0;1;0;1
NC_011976:299262;-1,058774076;-1,350007337;0,30266039;-1,496291537;-0,543031688;-0,444202655;-0,43920635;1;1;0;0;1;0;1;0;1;0;0;0;0
NC_004914:116946;-0,397870177;-0,498021338;-0,370926333;1,531058763;-0,925133274;-0,492714523;-0,182735489;1;1;1;0;1;0;1;0;1;1;0;0;0
NC_003525:112764;-1,132523005;0,133589513;0,977522671;0,774221188;-0,186982476;0,052197853;-0,054500058;1;1;1;0;1;0;1;0;1;1;0;0;0
KU574722:174636;-1,263001861;-0,405542486;-0,469861448;0,774221188;-0,042247016;-0,105747763;0,073735373;1;1;1;0;1;0;0;1;0;0;1;0;0
NC_011048:10893;-0,517003071;-0,248131688;-0,601774949;0,395802401;-0,410268496;0,242860776;0,073735373;1;1;1;1;0;0;1;0;0;0;0;0;0
NC_001609:psid;0,382166667;-1,052894402;-0,425890324;0,774221188;-0,155140672;-0,326871626;-0,310970919;1;1;1;0;1;0;0;1;1;1;0;0;1
NC_003298:54279;-1,209108428;-1,509385762;-0,697614845;-1,496291537;-0,349174193;-0,822143951;-1,080383503;1;1;0;0;0;0;1;0;0;1;0;0;0
NC_019401:227538;0,2034673;0,344126448;-1,237963841;0,017383613;-0,194137468;-0,432920825;-0,43920635;1;1;0;1;0;0;0;1;0;0;0;1;0
KU574722:151697;0,77927619;0,800617808;-0,766345113;0,017383613;-0,524216096;1,278532745;1,099618818;1;1;0;0;1;0;0;1;0;0;1;0;0
KU574722:Porf_534;-0,236189812;2,128771357;0,589110733;0,017383613;-0,337750854;1,588783063;1,740795971;1;0;1;1;0;0;0;1;0;0;1;0;1
KU574722:156613;0,489953464;-0,248131688;-0,173113998;0,017383613;-0,390587197;-0,057235895;0,073735373;1;1;0;0;0;0;0;1;0;0;1;0;0
NC_009936:242232;-0,060326974;-1,001735941;-1,74977754;-1,496291537;-0,557505254;-0,497227255;-0,567441781;1;1;0;0;1;0;1;0;0;0;0;0;0
NC_003298:B;1,343739236;-0,051368191;0,589110733;1,909477551;-0,140104724;-0,675480165;-0,567441781;1;1;1;1;0;0;1;0;0;1;0;0;1
NC_005856:34988;-1,075793044;1,209885878;0,845609302;-0,739453962;-0,191293642;-0,447587204;-0,310970919;1;0;1;1;0;0;0;1;1;1;0;0;0
NC_001604:75946;-0,346813205;-1,702213999;-0,209698706;0,017383613;-0,52566345;-0,717222935;-0,695677211;1;1;1;0;1;0;1;0;0;1;0;0;0
AY543070:274190;-0,451763609;2,303890942;0,218418517;0,017383613;-0,456307796;-0,140721435;-0,182735489;1;0;0;0;0;0;0;0;0;1;0;0;0
NC_019401:219537;-1,274347873;0,133589513;0,266655654;1,531058763;-0,399743584;0,632083901;0,330206234;1;1;1;0;1;0;0;1;0;0;0;1;0
NC_028870:140381;0,504136005;-0,864001432;-1,525169412;1,531058763;-0,62355568;-0,998140495;-0,952148073;1;1;1;1;0;0;1;0;0;0;0;0;0
NC_005856:pC1;1,967768738;1,215788731;-0,412233726;-1,496291537;-0,090009718;0,527162885;0,458441665;1;1;0;0;1;0;0;1;1;1;0;0;1
KP025626:P6;0,135391361;0,395284957;-2,220208869;0,017383613;2,966778519;-1,04552418;-1,080383503;0;0;0;1;0;0;1;0;0;0;0;0;1
NC_025418:144837;-1,06728356;-0,383898498;0,413226065;0,395802401;-0,644884412;-0,737530228;-0,695677211;1;1;1;1;0;0;1;0;0;0;0;0;0
NC_001978:107893;-1,350933263;-1,336233858;0,823514242;0,395802401;0,238539774;-1,530642858;-1,465089795;1;1;0;0;1;0;0;0;1;0;0;0;0
NC_019401:236899;0,112699336;1,036733973;-0,0557996;-0,361035175;-0,117354087;0,777619505;0,586677095;1;1;1;1;0;0;0;1;0;0;0;1;0
NC_028816:134673;-0,732576864;-0,942706852;-1,234077372;-1,11787275;0,170514106;-1,247468932;-1,208618934;0;1;0;0;1;0;1;0;0;0;0;0;0
EU056923:270628;-0,829017771;-1,645152591;-0,05213534;0,395802401;-0,558864763;-1,834124078;-1,721560657;1;1;1;0;0;0;1;0;0;0;0;0;0
KU574722:165944;1,224606325;0,483828542;-0,957208523;-0,739453962;-0,654477987;0,442549162;0,330206234;1;1;1;0;1;0;0;1;0;0;1;0;0
NC_000866:P19(a);0,600576959;2,662000457;-0,836578373;0,017383613;0,322017517;0,146965223;0,073735373;1;0;0;1;0;0;0;1;0;1;0;0;1
NC_000866:62418;0,402022062;0,214262543;-0,814302263;0,017383613;-1,060083475;0,215784384;0,330206234;1;1;1;1;0;0;0;1;0;1;0;0;0
NC_000866:68022;0,135391361;1,394843582;0,823514242;0,017383613;-0,321586443;0,460600089;0,586677095;1;1;0;0;1;0;0;1;0;1;0;0;0
NC_000866:65586;-0,431908147;1,215788731;-0,330619383;-0,361035175;0,27651626;1,240174524;1,48432511;1;0;1;1;0;0;0;1;0;1;0;0;0
NC_004914:116144;-1,112667508;-0,283549114;0,413226065;0,017383613;0,400643487;-0,947372261;-0,695677211;1;1;1;0;1;0;1;0;1;1;0;0;0
NC_001604:75657;-0,085855494;-0,783328426;-1,85819922;-1,11787275;-0,751600318;0,429010966;0,201970803;1;1;0;0;0;0;1;0;0;1;0;0;0
NC_010326:253738;-1,186416437;-1,836013147;1,072793613;0,395802401;-0,370796486;-1,281314421;-1,593325226;1;1;1;0;1;0;1;0;0;0;0;0;0
NC_004831:48897;-1,453047206;-0,70068774;-0,530421821;-1,11787275;-0,278030432;-1,044395997;-1,080383503;1;1;0;1;0;0;1;0;0;0;0;0;0
NC_019401:219692;1,403305692;0,133589513;0,845609302;0,774221188;-0,21973194;1,416171068;1,48432511;1;1;1;1;0;0;0;1;0;0;0;1;0
AY543070:277703;0,861534603;1,178403748;-1,389591651;1,152639976;-0,647241255;0,205630738;0,201970803;1;0;1;0;1;0;0;0;0;1;0;0;0
NC_000866:62153;0,640287884;1,215788731;-0,151070542;0,017383613;-0,457191665;0,586956582;0,714912526;1;1;1;1;0;1;0;1;0;1;0;0;0
NC_001271:phi13;0,665816403;1,209885878;0,171384712;1,531058763;4,188203149;0,849823215;0,586677095;0;1;1;1;0;0;1;0;0;0;0;0;1
NC_019401:236278;0,974994525;-0,051368191;-0,766345113;0,017383613;-0,181340249;1,331557345;1,356089679;1;1;0;1;0;0;0;1;0;0;0;1;0
NC_001416:24478;-0,644645449;0,861614482;-0,599904711;0,017383613;-0,247442321;-0,924808602;-0,823912642;1;0;0;0;0;0;0;0;1;1;0;0;0
KU574722:153993;0,328273133;-0,651496865;-0,982858367;0,017383613;0,154083523;0,610648425;0,586677095;1;1;1;0;0;0;0;1;0;0;1;0;0
NC_000924:17090;-1,801936387;-0,399639587;-0,162968804;0,017383613;0,297881307;-0,280616124;-0,182735489;0;1;0;0;1;0;1;0;1;1;0;0;0
NC_005856:p1C4;1,128165372;-0,568856178;1,087450654;0,395802401;-0,60284749;0,330859048;0,330206234;1;1;1;0;0;0;0;1;1;1;0;0;1
KU574722:151846;1,343739236;-0,651496865;-0,832623564;0,774221188;-0,923554195;1,051767967;1,099618818;1;1;1;0;0;0;0;1;0;0;1;0;0
NC_000924:17379;-1,243146398;0,176877489;1,442884163;1,531058763;-0,464874547;0,010455083;-0,054500058;1;1;1;0;1;0;1;0;1;1;0;0;0
NC_000866:P54.4;0,77927619;0,127686614;2,084130348;0,395802401;-0,932370074;1,087869823;1,227854249;1;1;0;0;1;1;0;1;0;1;0;0;1
NC_019401:228910;0,974994525;0,489731442;1,714039773;-0,739453962;-0,204350732;0,76069676;0,843147957;1;1;1;0;1;0;0;1;0;0;0;1;0
NC_004679:PR2;1,967768738;0,350029347;-0,184048884;0,774221188;-1,259359483;1,322531881;1,48432511;1;1;1;0;0;1;1;0;0;0;0;0;1
KU574722:177405;0,974994525;0,133589513;-0,825295044;1,531058763;-0,489895703;0,753927662;0,458441665;1;1;1;1;0;0;0;1;0;0;1;0;0
NC_005045:96100;-0,613443974;-2,083935205;-1,011822312;-1,11787275;-0,057461805;-1,694229389;-1,721560657;1;1;0;0;0;0;1;0;0;0;0;0;0
KU574722:147811;1,318210717;1,400746435;0,38757633;0,017383613;-0,660671843;0,875771424;0,971383387;1;1;1;0;0;0;0;1;0;0;1;0;0
NC_004914:118570;0,382166667;0,208359643;-0,173056103;1,152639976;-0,309312556;-0,225335158;-0,182735489;1;1;1;1;0;0;1;0;1;1;0;0;0
NC_009935:237173;0,861534603;0,928514103;-0,908720586;0,017383613;0,688667012;-0,4081008;-0,43920635;1;1;0;0;1;0;1;0;0;0;0;0;0
NC_000902:pL;0,77927619;0,381511525;1,087450654;0,395802401;0,270828574;0,81372136;0,714912526;1;1;1;1;0;0;1;0;1;1;0;0;1
NC_005045:94484;-1,053101053;-1,739599076;-1,180728618;1,152639976;-0,71526689;-1,107574243;-1,208618934;1;1;1;0;1;0;1;0;0;0;0;0;0
NC_001271:124138;0,05313288;1,394843582;0,413226065;-0,739453962;0,849323388;-0,420510813;-0,43920635;1;0;1;0;1;0;1;0;0;0;0;0;0
NC_000866:P3.6;1,343739236;0,444475832;1,826336935;0,395802401;-0,720245846;0,977307891;1,099618818;1;1;0;1;0;0;0;1;0;1;0;0;1
NC_001825:PPR;1,539457571;0,483828542;-0,588074585;-1,874710325;0,467052799;0,774234956;0,843147957;1;1;0;1;0;0;1;0;0;0;0;0;1
NC_009935:237098;-0,403543166;-0,019886025;-0,752129984;-1,11787275;-0,660267399;-0,956397725;-0,952148073;1;1;0;0;1;0;1;0;0;0;0;0;0
KP025626:P8;-0,284410289;1,04263692;-0,778328688;-1,11787275;2,396590748;0,18757981;-0,054500058;0;0;0;1;0;0;1;0;0;0;0;0;1
EU622808:4155;1,28984577;1,036733973;0,171384712;1,909477551;-0,381830198;1,031460674;0,714912526;1;1;1;1;0;0;1;0;0;0;0;0;0
NC_001978:107872;-1,501267683;-2,268892815;1,087450654;0,774221188;0,024331296;-2,187245349;-1,978031518;1;1;1;0;1;0;0;0;1;0;0;0;0
NC_028870:A2;0,640287884;1,050507452;2,084130498;0,395802401;-0,66905697;0,431267332;0,330206234;1;1;1;1;0;0;1;0;0;0;0;0;1
NC_001416:25067;0,24601472;0,176877489;-0,151070542;0,395802401;-0,490926939;-0,713838386;-0,952148073;1;1;1;0;1;0;0;0;1;1;0;0;0
NC_004165:1547;0,861534603;1,113471713;-1,49610542;-1,496291537;-0,468911734;0,755055845;0,714912526;1;0;0;0;0;0;1;0;0;0;0;0;0
NC_002730:100036;-0,817671784;-0,562953279;-0,271991218;0,017383613;-0,330270563;-0,673223799;-0,567441781;1;1;1;0;1;0;1;0;1;1;0;0;0
NC_012418:258487;-2,011837128;-1,462162473;-0,330619383;0,017383613;0,58735222;-1,456182782;-1,465089795;0;1;1;0;1;0;1;0;0;0;0;0;0
AY543070:283001;0,061642432;0,007660862;-1,409626299;-1,874710325;0,604720458;0,043172389;0,201970803;0;1;0;0;1;0;0;0;0;1;0;0;0
NC_000866:68636;1,167876432;1,400746435;0,10542794;0,017383613;-0,709477477;1,198431754;1,099618818;1;1;1;0;1;0;0;1;0;1;0;0;0
NC_021190:287572;-1,407663224;-1,106020544;1,442884163;0,774221188;-0,124746229;-1,195572515;-1,080383503;1;1;1;0;1;0;0;0;1;1;0;0;0
NC_004913:84965;-0,267391287;-0,871872012;-0,524825439;-0,739453962;-0,424348623;-0,978961384;-0,952148073;1;1;1;0;1;0;1;0;1;1;0;0;0
NC_000866:65781;1,224606325;0,259518129;-0,709145384;-1,496291537;-0,780409319;1,350736455;1,48432511;1;1;0;0;0;0;0;1;0;1;0;0;0
KU574722:155451;0,288562208;1,394843582;0,31429095;0,774221188;-0,433019107;0,863361411;0,843147957;1;1;1;1;0;0;0;1;0;0;1;0;0
NC_006949:295073;-0,029125533;-0,645593965;1,02882249;1,531058763;0,39774878;-0,234360622;-0,310970919;1;1;1;0;1;0;0;0;1;0;0;0;0
AY543070:271561;0,725382724;-0,694784841;1,283268271;0,395802401;0,289313479;0,19886164;0,330206234;1;1;0;1;0;0;0;0;0;1;0;0;0
NC_025418:145594;0,280052724;0,338223548;-0,521161179;0,774221188;-0,101713025;0,667057574;0,458441665;1;1;1;1;0;0;1;0;0;0;0;0;0
NC_002730:101461;1,318210717;0,133589513;-0,712028019;-1,496291537;0,108730324;1,171355363;1,099618818;1;1;0;1;0;0;1;0;1;1;0;0;0
KU574722:175396;0,402022062;0,133589513;0,100875817;-1,11787275;-0,628425629;0,65803211;0,586677095;1;1;0;0;1;0;0;1;0;0;1;0;0
KU574722:178049;0,112699336;0,086366271;-0,206034446;-0,361035175;-0,609610003;0,356807256;0,458441665;1;1;1;0;1;0;0;1;0;0;1;0;0
NC_004679:102619;0,853025186;-1,039120924;0,38757633;-0,361035175;-0,194219242;0,773106773;0,843147957;1;1;1;0;1;0;1;0;0;0;0;0;0
NC_028816:138769;-1,172233964;0,566469228;0,358262248;1,909477551;0,077883415;-0,321230711;-0,43920635;1;0;1;0;1;0;1;0;0;0;0;0;0
AY543070:PN25;1,967768738;1,178403748;0,607432122;0,395802401;-0,593695469;1,920468857;2,125502263;1;1;1;1;0;0;0;0;0;1;0;0;1
NC_019401:234530;0,640287884;1,215788731;1,02882249;1,152639976;-0,465723145;1,260481817;1,099618818;1;1;1;1;0;0;0;1;0;0;0;1;0
KP025626:245685;-0,965169651;-0,793166592;-0,931558679;-0,739453962;0,627878178;-1,705511219;-1,336854365;0;1;1;0;1;0;1;0;0;0;0;0;0
EU056923:267135;-1,504104177;-1,682537667;-1,030332954;0,395802401;0,836297175;-1,57689836;-1,593325226;0;1;0;0;1;0;1;0;0;0;0;0;0
NC_001416:24579;-0,57089652;-0,694784841;-0,905908857;1,531058763;-0,455505399;-1,905199605;-1,849796087;1;1;1;0;0;0;0;0;1;1;0;0;0
NC_000902:82539;0,109862841;-1,023379858;-0,399642404;0,017383613;0,225327317;-1,002653227;-1,208618934;1;1;0;1;0;0;1;0;1;1;0;0;0
KU574722:Porf_227;0,410531613;2,662000457;-1,250349632;-0,739453962;0,275094347;1,316890966;1,227854249;1;0;1;1;0;0;0;1;0;0;1;0;1
NC_028816:136734;-0,877238231;0,153265868;-1,133093191;0,017383613;0,218529742;-0,896604027;-0,952148073;0;0;1;0;0;0;1;0;0;0;0;0;0
NC_004913:86940;0,853025186;-0,147782302;-0,913812626;-1,874710325;-0,181721722;-0,98121775;-0,823912642;1;1;0;0;0;0;1;0;1;1;0;0;0
NC_019401:216071;1,167876432;-0,415380675;-1,616821144;0,017383613;-0,501271009;0,370345452;0,330206234;1;1;0;1;0;0;0;1;0;0;0;1;0
NC_000866:Pe(w);0,660143279;1,750985417;-1,078129243;0,395802401;0,167028825;1,452272923;1,099618818;1;0;1;1;0;0;0;1;0;1;0;0;1
NC_011085:190961;0,24601472;0,086366271;-0,015492737;-0,739453962;0,033368857;-0,37763986;-0,310970919;1;1;1;1;0;0;1;0;0;0;0;0;0
NC_019401:202541;-0,017779554;0,861614482;1,02882249;-0,361035175;-0,615024201;0,988589721;0,971383387;1;1;1;1;0;0;0;1;0;0;0;1;0
NC_019401:223823;0,05313288;-0,385866131;-0,755674011;0,395802401;-0,849150677;0,390652745;0,330206234;1;1;1;0;0;0;0;1;0;0;0;1;0
KU574722:163602;0,01058546;0,159168767;0,475518577;1,152639976;-0,781845205;0,322961767;0,201970803;1;1;1;0;1;0;0;1;0;0;1;0;0
NC_004777:A2;0,739565265;-0,019886025;2,084130498;0,774221188;-0,367611066;0,052197853;0,073735373;1;1;1;1;0;0;1;0;0;0;0;0;1
NC_000924:16702;-1,974962765;-2,170511064;0,021149866;0,017383613;0,154593203;-1,563360164;-1,849796087;0;1;1;0;1;0;1;0;1;1;0;0;0
NC_002649:3884;1,539457571;1,209885878;-1,045150857;-0,361035175;-0,700339061;0,377114549;0,458441665;1;1;1;1;0;0;1;0;0;0;0;0;0
NC_005856:LpHot;0,541010503;1,392875902;-0,114427852;0,017383613;-0,996097279;1,074331627;1,356089679;1;0;1;1;0;0;0;1;1;1;0;0;1
NC_000866:72472;0,699854339;0,253615229;0,022652295;0,395802401;-0,481515672;0,065736049;0,073735373;1;1;0;0;0;0;0;1;0;1;0;0;0
NC_001317:289711;0,853025186;-0,736105184;-0,792316658;0,017383613;0,171248315;-1,187675234;-1,208618934;1;1;1;0;0;0;0;0;1;1;0;0;0
NC_019401:234415;0,075824905;0,489731442;1,089620581;-1,874710325;-0,007866667;0,862233228;0,843147957;1;1;0;1;0;0;0;1;0;0;0;1;0
NC_011043:phiOL;0,699854339;0,265421075;-1,224699785;0,395802401;3,80855195;0,8972069;0,586677095;0;1;1;1;0;0;1;0;0;0;0;0;1
NC_019401:235977;0,075824905;1,394843582;0,453533015;0,017383613;-0,414217151;1,817804206;1,740795971;1;0;1;0;1;0;0;1;0;0;0;1;0
NC_000866:P65.7/2;1,967768738;0,338223548;0,662195931;0,395802401;0,14001244;0,257527154;0,201970803;1;1;0;1;0;1;0;1;0;1;0;0;1
NC_002166:18826;-0,202151842;0,438572933;-0,216214354;-1,496291537;0,059092397;-0,746555692;-0,567441781;1;1;0;0;0;0;0;0;1;1;0;0;0
NC_004165:A2b;1,539457571;0,483828542;0,38757633;-0,361035175;-0,160011526;0,589212948;0,843147957;1;1;1;1;0;0;1;0;0;0;0;0;1
NC_019401:227198;0,061642432;0,796682541;-0,638417595;0,017383613;-0,414894813;0,010455083;0,073735373;1;0;1;0;0;1;0;1;0;0;0;1;0
NC_019401:231843;-0,134075903;-0,248131688;-0,766345113;0,017383613;0,151387763;0,125529746;0,201970803;1;1;0;1;0;0;0;1;0;0;0;1;0
KU574722:167440;0,699854339;1,209885878;-0,173056103;1,531058763;-0,331717916;0,83628502;0,843147957;1;1;1;0;1;0;0;1;0;0;1;0;0
NC_001825:103569;-0,726903869;0,493666708;-0,172974763;-1,496291537;-0,427498752;-0,555892769;-0,43920635;1;1;0;0;0;0;1;0;0;0;0;0;0
NC_005856:LpSit;1,318210717;0,47005511;-0,749502305;-1,874710325;0,077448208;0,582443851;0,458441665;1;1;0;1;0;0;0;1;1;1;0;0;1
NC_004665:phi17;-0,41772564;0,497601974;-0,59134196;0,017383613;2,322651397;-0,493842706;-0,695677211;0;1;0;1;0;0;1;0;0;0;0;0;1
NC_009936:241346;-1,569343555;-2,306277986;0,446204495;0,395802401;0,20235591;-1,408799097;-1,593325226;1;1;1;0;1;0;1;0;0;0;0;0;0
NC_001317:289438;-1,69698595;-1,371651254;1,39891304;0,017383613;0,885507252;-1,389619987;-1,080383503;0;1;1;0;1;0;0;0;1;1;0;0;0
NC_003298:A3;0,54384693;0,336255915;2,084130498;0,395802401;0,141479574;0,582443851;0,586677095;1;1;1;0;0;0;1;0;0;1;0;0;1
EU438902:P3;1,967768738;1,394843582;1,050808052;-0,361035175;0,080292035;1,805394193;1,869031402;1;1;1;1;0;0;1;0;0;0;0;0;1
NC_002649:3173;-0,851709754;0,127686614;-0,025960251;-1,874710325;-0,684697982;0,768594041;0,586677095;1;1;0;1;0;0;1;0;0;0;0;0;0
AY543070:278207;-0,108547451;1,394843582;-0,048471079;1,909477551;0,283625826;1,01115338;0,971383387;1;0;1;1;0;0;0;0;0;1;0;0;0
NC_019401:231394;0,541010503;0,444475832;-0,019156997;1,152639976;-0,342016594;0,144708857;0,201970803;1;1;1;1;0;0;0;1;0;0;0;1;0
NC_000866:63862;0,575048439;0,265421075;0,369254942;-0,361035175;-0,063321335;0,86674596;0,714912526;1;1;1;1;0;1;0;1;0;1;0;0;0
KU574722:152906;1,224606325;0,100139703;0,897668132;0,395802401;-0,563835257;0,722338539;0,714912526;1;1;0;1;0;0;0;1;0;0;1;0;0
NC_011043:186864;-0,71272138;-0,991897728;0,021149866;-0,739453962;0,232750344;-0,693531092;-0,952148073;1;1;1;0;1;0;1;0;0;0;0;0;0
NC_001825:PE3;0,796295158;0,259518129;0,607432122;0,395802401;0,170514106;1,802009645;1,997266833;1;1;1;0;1;1;1;0;0;0;0;0;1
EU236438:262617;-0,786470313;-2,093773418;-1,723833792;-1,496291537;0,315249545;-2,462521994;-2,36273781;0;1;0;0;1;0;1;0;0;0;0;0;0
NC_019401:209712;0,075824905;0,69830079;-1,202714202;1,152639976;-0,972169428;-0,010980393;-0,054500058;1;0;1;0;0;0;0;1;0;0;0;1;0
NC_001271:phi2.5;-0,826181277;0,263453442;0,141232704;-1,496291537;3,615171755;0,272193533;0,073735373;0;1;0;1;0;0;1;0;0;0;0;0;1
KU574722:Porf_260;0,402022062;2,128771357;1,654617275;-1,11787275;-0,989274837;2,278102859;2,125502263;1;1;0;0;0;0;0;1;0;0;1;0;1
AY543070:280919;0,575048439;1,215788731;-1,05980792;1,152639976;-0,414217151;1,343967357;1,227854249;1;0;1;0;1;0;0;0;0;1;0;0;0
NC_001978:lp2;-0,49431108;-0,70068774;-1,026235503;-1,874710325;3,654296623;-0,659685603;-0,823912642;0;1;0;0;1;0;0;0;1;0;0;0;1
KU574722:164458;-0,6957024;0,304773738;0,034575148;-1,874710325;-0,229685332;0,799054981;0,843147957;1;1;0;1;0;0;0;1;0;0;1;0;0
NC_023567:133480;-1,053101053;-1,371651254;0,607432122;1,531058763;-0,314349677;-0,588610076;-0,695677211;1;1;1;0;1;0;1;0;0;0;0;0;0
NC_019401:224457;0,101353357;-0,81677819;-0,57057882;0,395802401;-0,279613166;0,335371779;0,201970803;1;1;0;0;1;0;0;1;0;0;0;1;0
NC_004913:pL;0,77927619;0,381511525;1,087450654;0,395802401;0,589337471;0,761824943;0,843147957;1;1;1;1;0;0;1;0;1;1;0;0;1
NC_011040:198973;-0,55671403;1,04263692;1,248678281;0,774221188;-0,623760245;0,395165477;0,330206234;1;1;1;0;0;0;1;0;0;1;0;0;0
NC_028816:136807;-0,587915505;-0,686914308;0,924363577;0,017383613;-0,849640117;-0,030159504;-0,182735489;1;1;0;1;0;0;1;0;0;0;0;0;0
